constellation,num_pairs,stars,name,ra,dec,zodiac
UMi,7,"['11767', '85822', '85822', '82080', '82080', '77055', '77055', '79822', '79822', '75097', '75097', '72607', '72607', '77055']",Ursa Minor,"[2.52975, 17.536918, 17.536918, 16.766159, 16.766159, 15.734298999999998, 15.734298999999998, 16.291791, 16.291791, 15.345482999999998, 15.345482999999998, 14.845104999999998, 14.845104999999998, 15.734298999999998]","[89.26410899999999, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 75.75533, 75.75533, 71.834016, 71.834016, 74.155505, 74.155505, 77.794493]",False
Dra,15,"['87585', '87833', '87833', '85670', '85670', '85829', '85829', '87585', '87585', '94376', '94376', '97433', '94376', '89908', '89937', '89908', '89908', '83895', '83895', '80331', '80331', '78527', '78527', '75458', '75458', '68756', '68756', '61281', '61281', '56211']",Draco,"[17.892134, 17.943437, 17.943437, 17.507213, 17.507213, 17.537767000000002, 17.537767000000002, 17.892134, 17.892134, 19.209225, 19.209225, 19.80285, 19.209225, 18.345955, 18.350736, 18.345955, 18.345955, 17.146448, 17.146448, 16.39986, 16.39986, 16.031532000000002, 16.031532000000002, 15.415494, 15.415494, 14.073165, 14.073165, 12.558058, 12.558058, 11.523407]","[56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 67.661541, 71.337814, 72.732843, 71.337814, 71.337814, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076]",False
Cas,5,"['9598', '8886', '8886', '6686', '6686', '4427', '4427', '3179', '3179', '746']",Cassiopeia,"[2.057268, 1.906584, 1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887]","[72.42129399999999, 63.670101, 63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001]",False
Cep,12,"['110991', '112724', '112724', '106032', '106032', '105199', '105199', '102422', '102422', '101093', '105199', '107259', '107259', '109857', '109857', '109492', '109492', '110991', '109492', '107418', '112724', '116727', '116727', '106032']",Cepheus,"[22.486183, 22.82802, 22.82802, 21.477662, 21.477662, 21.30963, 21.30963, 20.754811, 20.754811, 20.493015, 21.30963, 21.725127, 21.725127, 22.250544, 22.250544, 22.180908, 22.180908, 22.486183, 22.180908, 21.75748, 22.82802, 23.65582, 23.65582, 21.477662]","[58.415198, 66.200408, 66.200408, 70.560716, 70.560716, 62.585573, 62.585573, 61.838782, 61.838782, 62.994105000000005, 62.585573, 58.780046, 58.780046, 57.043587, 57.043587, 58.201261, 58.201261, 58.415198, 58.201261, 61.12080600000001, 66.200408, 77.632276, 77.632276, 70.560716]",False
Cam,8,"['23040', '23522', '23522', '17884', '17884', '16228', '17884', '17959', '17959', '22783', '22783', '23522', '22783', '33694', '33694', '29997']",Camelopardalis,"[4.95478, 5.05697, 5.05697, 3.825357, 3.825357, 3.484482, 3.825357, 3.839302, 3.839302, 4.900836, 4.900836, 5.05697, 4.900836, 7.001081, 7.001081, 6.3141050000000005]","[53.752101, 60.44224499999999, 60.44224499999999, 65.525972, 65.525972, 59.94033, 65.525972, 71.332266, 71.332266, 66.342678, 66.342678, 60.44224499999999, 66.342678, 76.977408, 76.977408, 69.319787]",False
UMa,19,"['67301', '65378', '65378', '62956', '62956', '59774', '59774', '54061', '54061', '53910', '53910', '58001', '58001', '59774', '54061', '46733', '46733', '41704', '41704', '44127', '44127', '44471', '44471', '50801', '50372', '46853', '46853', '48319', '48319', '46733', '50801', '55203', '55219', '54539', '54539', '57399', '57399', '67301']",Ursa Major,"[13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 11.030677, 11.030677, 11.897168, 11.897168, 12.257086, 11.062155, 9.525453, 9.525453, 8.504431, 8.504431, 8.986828, 8.986828, 9.060427, 9.060427, 10.372155, 10.284952, 9.547715, 9.547715, 9.849867, 9.849867, 9.525453, 10.372155, 11.303118, 11.307983, 11.161062, 11.161062, 11.767515, 11.767515, 13.792354]","[49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 56.382427, 56.382427, 53.69476, 53.69476, 57.032617, 61.75103299999999, 63.061861, 63.061861, 60.718169, 60.718169, 48.041826, 48.041826, 47.156525, 47.156525, 41.499516, 42.914365, 51.6773, 51.6773, 59.038735, 59.038735, 63.061861, 41.499516, 31.528783, 33.094306, 44.498487, 44.498487, 47.779406, 47.779406, 49.313265]",False
Leo,18,"['57632', '54872', '54872', '54879', '54879', '55642', '55642', '55434', '54879', '51624', '54879', '49583', '49583', '49669', '49583', '47508', '49583', '50583', '50583', '53954', '53954', '54872', '50583', '50335', '50335', '48455', '48455', '46146', '46146', '46750', '46750', '47908', '47908', '48455', '47908', '49583']",Leo,"[11.817663, 11.235138, 11.235138, 11.237335, 11.237335, 11.398736, 11.398736, 11.352276, 11.237335, 10.546853, 11.237335, 10.122209, 10.122209, 10.139532, 10.122209, 9.685842999999998, 10.122209, 10.332873, 10.332873, 11.038827, 11.038827, 11.235138, 10.332873, 10.278171, 10.278171, 9.879398, 9.879398, 9.410906, 9.410906, 9.528675, 9.528675, 9.764188, 9.764188, 9.879398, 9.764188, 10.122209]","[14.57206, 20.523717, 20.523717, 15.429570000000002, 15.429570000000002, 10.529509, 10.529509, 6.0293220000000005, 15.429570000000002, 9.306586, 15.429570000000002, 16.762664, 16.762664, 11.967207, 16.762664, 9.892308, 16.762664, 19.841489000000003, 19.841489000000003, 20.179842, 20.179842, 20.523717, 19.841489000000003, 23.417311, 23.417311, 26.006951, 26.006951, 26.182324, 26.182324, 22.967971, 22.967971, 23.774255, 23.774255, 26.006951, 23.774255, 16.762664]",True
CVn,1,"['61317', '63125']",Canes Venatici,"[12.562411, 12.933807]","[41.35748, 38.31838]",False
LMi,5,"['53229', '51233', '51233', '49593', '49593', '46952', '49593', '51056', '51056', '53229']",Leo Minor,"[10.888526, 10.464727, 10.464727, 10.123821, 10.123821, 9.570384, 10.123821, 10.431895, 10.431895, 10.888526]","[34.214871, 36.707212, 36.707212, 35.244693, 35.244693, 36.397558, 35.244693, 33.79612, 33.79612, 34.214871]",False
Boo,18,"['67275', '67459', '67459', '67927', '67927', '69673', '69673', '71795', '71795', '72105', '72105', '69673', '72105', '74666', '74666', '75411', '75411', '73555', '73555', '74666', '73555', '71075', '71075', '71053', '71053', '71284', '71284', '72105', '71075', '69732', '69732', '70497', '70497', '69483', '69483', '69732']",Bootes,"[13.78771, 13.824623, 13.824623, 13.911411, 13.911411, 14.261029999999998, 14.261029999999998, 14.68582, 14.68582, 14.749784, 14.749784, 14.261029999999998, 14.749784, 15.258376, 15.258376, 15.408181, 15.408181, 15.032436, 15.032436, 15.258376, 15.032436, 14.534636, 14.534636, 14.5305, 14.5305, 14.578, 14.578, 14.749784, 14.534636, 14.273074, 14.273074, 14.419967000000002, 14.419967000000002, 14.224718, 14.224718, 14.273074]","[17.456906, 15.797904999999998, 15.797904999999998, 18.397717, 18.397717, 19.18241, 19.18241, 13.7283, 13.7283, 27.074222, 27.074222, 19.18241, 27.074222, 33.314833, 33.314833, 37.377167, 37.377167, 40.390566, 40.390566, 33.314833, 40.390566, 38.308253, 38.308253, 30.371437, 30.371437, 29.74513, 29.74513, 27.074222, 38.308253, 46.088305, 46.088305, 51.850744, 51.850744, 51.789965, 51.789965, 46.088305]",False
